@RELATION pacman-data-training

	 @ATTRIBUTE pacman-x NUMERIC
	 @ATTRIBUTE pacman-y NUMERIC
	 @ATTRIBUTE ghost-x NUMERIC
	 @ATTRIBUTE ghost-y NUMERIC
	 @ATTRIBUTE ghost-distance NUMERIC
	 @ATTRIBUTE north-legal {True,False}
	 @ATTRIBUTE south-legal {True,False}
	 @ATTRIBUTE east-legal {True,False}
	 @ATTRIBUTE west-legal {True,False}
	 @ATTRIBUTE ghost-move {North,South,East,West,Stop,None}
	 @ATTRIBUTE score NUMERIC
	 @ATTRIBUTE final-move {North,South,East,West,Stop}
	 @ATTRIBUTE next_score NUMERIC

	 @data
14,10,14,6,4,True,True,True,True,West,361,South,360
14,9,13,6,4,True,True,False,True,West,360,South,359
13,9,13,5,4,True,True,True,False,South,359,West,358
13,8,13,5,3,True,True,True,False,South,358,South,357
13,7,13,5,2,True,True,True,False,South,357,South,356
13,6,14,5,2,True,True,True,False,East,356,South,355
14,6,13,5,2,True,True,True,True,West,355,East,554
13,6,24,14,20,True,True,True,False,East,554,West,553
14,6,25,14,19,True,True,True,True,East,553,East,552
14,7,25,14,19,True,True,False,True,North,552,North,551
14,8,25,15,18,True,True,True,True,North,551,North,550
14,9,25,15,18,True,True,False,True,North,550,North,549
14,10,25,16,16,True,True,True,True,West,549,North,548
15,10,24,16,14,True,False,True,True,South,548,East,547
16,10,24,15,13,True,False,True,True,South,547,East,546
16,11,24,15,12,True,True,True,True,South,546,North,545
16,12,24,15,10,False,True,True,True,South,545,North,544
17,12,24,14,8,True,True,True,True,West,544,East,543
18,12,23,14,6,True,True,True,True,South,543,East,542
19,12,23,13,5,True,True,True,True,South,542,East,541
20,12,23,13,3,True,True,False,True,West,541,East,540
20,13,22,13,3,True,True,False,True,East,540,North,539
20,14,23,13,3,True,True,False,True,North,539,North,538
20,15,23,14,4,True,True,True,False,North,538,North,537
21,15,23,14,4,True,False,True,True,East,537,East,536
22,15,24,14,2,True,True,True,True,North,536,East,0
12,10,13,12,3,False,False,True,True,None,0,Stop,-1
13,10,13,12,2,False,True,True,True,Stop,-1,East,-2
14,10,13,12,3,False,True,True,True,Stop,-2,East,-3
15,10,13,12,4,True,True,True,True,Stop,-3,East,-4
15,11,13,12,3,True,True,True,False,Stop,-4,North,-5
15,12,13,12,2,True,True,True,False,Stop,-5,North,-6
